ts=1769947559, profit=76651, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769948579, profit=20345260, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769949895, profit=1473931, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769956053, profit=93953252, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769956312, profit=513418, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769956471, profit=433418, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769963978, profit=6015862, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769964616, profit=211105849, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769964652, profit=339103124, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769965488, profit=13955032, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769966330, profit=3480688097, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769970538, profit=7671275249, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769970618, profit=7465397642, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=170, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=165
ts=1769970860, profit=15740016, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769970874, profit=15740016, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
ts=1769970895, profit=15740016, lb_pair_key=LJGCprfvx4qZVXktL24CLArGwzpAsQXjq5AQFa5w6WT, lb_pair_len=904, base_vault_key=EogH84s5GJdWZo5xkmepHwYR4tJzKDJWqpX2NjU2oLvF, base_vault_len=8, quote_vault_key=5sUDTcpUa14NN7XwZkJ3Y7QyBQurZ2hG3BJXckBXaksY, quote_vault_len=8
